Date,cnt
2022-03-24,628
2022-03-25,613
2022-03-26,626
2022-03-27,549
2022-03-28,620
2022-03-29,580
2022-03-30,645
2022-03-31,604
2022-04-01,708
2022-04-02,660
2022-04-03,614
2022-04-04,883
2022-04-05,711
2022-04-06,661
2022-04-07,733
2022-04-08,706
2022-04-09,569
2022-04-10,641
2022-04-11,753
2022-04-12,642
2022-04-13,659
2022-04-14,652
2022-04-15,588
2022-04-16,560
2022-04-17,533
2022-04-18,746
2022-04-19,716
2022-04-20,628
2022-04-21,610
2022-04-22,613
2022-04-23,573
2022-04-24,593
2022-04-25,813
2022-04-26,722
2022-04-27,663
2022-04-28,662
2022-04-29,619
2022-04-30,538
2022-05-01,562
2022-05-02,909
2022-05-03,861
2022-05-04,750
2022-05-05,727
2022-05-06,704
2022-05-07,584
2022-05-08,518
2022-05-09,756
2022-05-10,667
2022-05-11,658
2022-05-12,660
2022-05-13,684
2022-05-14,528
2022-05-15,616
2022-05-16,757
2022-05-17,708
2022-05-18,708
2022-05-19,638
2022-05-20,606
2022-05-21,551
2022-05-22,575
2022-05-23,732
2022-05-24,712
2022-05-25,640
2022-05-26,630
2022-05-27,595
2022-05-28,586
2022-05-29,625
2022-05-30,665
2022-05-31,685
2022-06-01,763
2022-06-02,879
2022-06-03,755
2022-06-04,633
2022-06-05,629
2022-06-06,801
2022-06-07,734
2022-06-08,692
2022-06-09,671
2022-06-10,707
2022-06-11,574
2022-06-12,607
2022-06-13,803
2022-06-14,692
2022-06-15,710
2022-06-16,607
2022-06-17,629
2022-06-18,568
2022-06-19,545
2022-06-20,676
2022-06-21,825
2022-06-22,714
2022-06-23,615
2022-06-24,644
2022-06-25,546
2022-06-26,639
2022-06-27,712
2022-06-28,683
2022-06-29,635
2022-06-30,575
2022-07-01,696
2022-07-02,663
2022-07-03,597
2022-07-04,572
2022-07-05,794
2022-07-06,716
2022-07-07,655
2022-07-08,641
2022-07-09,608
2022-07-10,570
2022-07-11,705
2022-07-12,691
2022-07-13,668
2022-07-14,684
2022-07-15,659
2022-07-16,591
2022-07-17,488
2022-07-18,677
2022-07-19,650
2022-07-20,612
2022-07-21,627
2022-07-22,630
2022-07-23,572
2022-07-24,560
2022-07-25,716
2022-07-26,625
2022-07-27,666
2022-07-28,660
2022-07-29,614
2022-07-30,552
2022-07-31,597
2022-08-01,843
2022-08-02,837
2022-08-03,833
2022-08-04,653
2022-08-05,617
2022-08-06,623
2022-08-07,542
2022-08-08,786
2022-08-09,681
2022-08-10,653
2022-08-11,661
2022-08-12,611
2022-08-13,607
2022-08-14,590
2022-08-15,696
2022-08-16,640
2022-08-17,633
2022-08-18,659
2022-08-19,674
2022-08-20,523
2022-08-21,559
2022-08-22,661
2022-08-23,702
2022-08-24,723
2022-08-25,646
2022-08-26,634
2022-08-27,589
2022-08-28,599
2022-08-29,665
2022-08-30,652
2022-08-31,646
2022-09-01,681
2022-09-02,850
2022-09-03,597
2022-09-04,557
2022-09-05,560
2022-09-06,803
2022-09-07,722
2022-09-08,673
2022-09-09,643
2022-09-10,552
2022-09-11,556
2022-09-12,765
2022-09-13,637
2022-09-14,675
2022-09-15,649
2022-09-16,652
2022-09-17,532
2022-09-18,554
2022-09-19,733
2022-09-20,706
2022-09-21,613
2022-09-22,637
2022-09-23,655
2022-09-24,572
2022-09-25,542
2022-09-26,723
2022-09-27,691
2022-09-28,642
2022-09-29,601
2022-09-30,583
2022-10-01,571
2022-10-02,679
2022-10-03,814
2022-10-04,770
2022-10-05,756
2022-10-06,706
2022-10-07,654
2022-10-08,647
2022-10-09,592
2022-10-10,613
2022-10-11,697
2022-10-12,650
2022-10-13,640
2022-10-14,648
2022-10-15,520
2022-10-16,543
2022-10-17,701
2022-10-18,686
2022-10-19,662
2022-10-20,670
2022-10-21,672
2022-10-22,618
2022-10-23,562
2022-10-24,732
2022-10-25,648
2022-10-26,615
2022-10-27,623
2022-10-28,647
2022-10-29,561
2022-10-30,564
2022-10-31,645
2022-11-01,759
2022-11-02,875
2022-11-03,845
2022-11-04,676
2022-11-05,528
2022-11-06,634
2022-11-07,690
2022-11-08,592
2022-11-09,628
2022-11-10,658
2022-11-11,557
2022-11-12,549
2022-11-13,580
2022-11-14,689
2022-11-15,610
2022-11-16,626
2022-11-17,657
2022-11-18,631
2022-11-19,516
2022-11-20,569
2022-11-21,667
2022-11-22,664
2022-11-23,588
2022-11-24,420
